"id","0","11","13","14","5","2","3"
"## AmongUsModManager Strings"
"## Language IDs: 0=English, 11=Japanese, 13=SChinese, 14=TChinese, 5=Russian, 2=PT-BR, 3=PT"

"# ナビゲーション"
"Nav_Home","Home","ホーム","主页","首頁","Главная","Início","Início"
"Nav_Library","Library","ライブラリ","库","庫","Библиотека","Biblioteca","Biblioteca"
"Nav_Settings","Settings","設定","设置","設置","Настройки","Configurações","Configurações"
"Nav_About","About","このアプリについて","关于","關於","О приложении","Sobre","Sobre"
"Nav_Information","Information","お知らせ","信息","資訊","Информация","Informações","Informações"
"Nav_Notification","Notifications","通知","通知","通知","Уведомления","Notificações","Notificações"
"Nav_Friend","Friends","フレンド","好友","朋友","Друзья","Amigos","Amigos"
"Nav_Stats","Stats","成績","统计","統計","Статистика","Estatísticas","Estatísticas"
"Nav_Screenshot","Screenshots","スクリーンショット","截图","截圖","Скриншоты","Capturas","Capturas"
"Nav_Log","Log","ログ","日志","日誌","Журнал","Log","Log"
"Nav_Account","Account","アカウント","账户","帳戶","Аккаунт","Conta","Conta"
"Nav_Contact","Contact","お問い合わせ","联系","聯絡","Контакт","Contato","Contato"
"Nav_DataManagement","Data Management","データ管理","数据管理","資料管理","Управление данными","Gerenciamento de dados","Gerenciamento de dados"
"Nav_Debug","Debug Console","デバッグコンソール","调试控制台","除錯控制台","Консоль отладки","Console de debug","Console de debug"
"Nav_ChatBot","AI Assistant","AI アシスタント","AI助手","AI助手","ИИ-ассистент","Assistente AI","Assistente AI"
"Nav_ModInstall","Mod Install","Mod インストール","Mod安装","Mod 安裝","Установка Mod","Instalar Mod","Instalar Mod"
"Nav_Version","Version","バージョン","版本","版本","Версия","Versão","Versão"
"Nav_ConflictCheck","Conflict Check","競合チェック","冲突检查","衝突檢查","Проверка конфликтов","Verificação de conflitos","Verificação de conflitos"

"# セットアップページ"
"Setup_Welcome","Welcome to AmongUsModManager","AmongUsModManager へようこそ","欢迎使用 AmongUsModManager","歡迎使用 AmongUsModManager","Добро пожаловать в AmongUsModManager","Bem-vindo ao AmongUsModManager","Bem-vindo ao AmongUsModManager"
"Setup_Subtitle","First, specify the Among Us installation folder.","はじめに Among Us のインストールフォルダを指定してください","请先指定 Among Us 的安装文件夹","請先指定 Among Us 的安裝資料夾","Сначала укажите папку установки Among Us.","Primeiro, especifique a pasta de instalação do Among Us.","Primeiro, especifique a pasta de instalação."
"Setup_LangStep","① Select Language / 言語を選択","① 言語を選択 / Select Language","① 选择语言","① 選擇語言","① Выберите язык","① Selecionar idioma","① Selecionar idioma"
"Setup_PlatformStep","② Select your platform","② 購入・プレイしたプラットフォームを選択","② 选择您的平台","② 選擇您的平台","② Выберите платформу","② Selecione sua plataforma","② Selecione sua plataforma"
"Setup_FolderStep","③ Specify the Among Us installation folder","③ Among Us のインストールフォルダを指定","③ 指定 Among Us 安装文件夹","③ 指定 Among Us 安裝資料夾","③ Укажите папку установки Among Us","③ Especifique a pasta de instalação do Among Us","③ Especifique a pasta de instalação"
"Setup_SelectPlatform","Select a platform","プラットフォームを選択してください","请选择平台","請選擇平台","Выберите платформу","Selecione uma plataforma","Selecione uma plataforma"
"Setup_ManualFolder","Specify folder manually","手動でフォルダを指定","手动指定文件夹","手動指定資料夾","Указать папку вручную","Especificar pasta manualmente","Especificar pasta manualmente"
"Setup_AutoDetect","🔍 Auto-detect","🔍 自動検出","🔍 自动检测","🔍 自動偵測","🔍 Автоопределение","🔍 Detectar automaticamente","🔍 Detectar automaticamente"
"Setup_Browse","Browse...","参照...","浏览...","瀏覽...","Обзор...","Procurar...","Procurar..."
"Setup_PathPlaceholder","Folder path will appear here","フォルダのパスがここに表示されます","文件夹路径将显示在这里","資料夾路徑將顯示在此","Путь к папке появится здесь","O caminho da pasta aparecerá aqui","O caminho da pasta aparecerá aqui"
"Setup_EpicLoginStep","④ Login to Epic Games Account","④ Epic Games アカウントにログイン","④ 登录 Epic Games 帐户","④ 登入 Epic Games 帳戶","④ Войти в аккаунт Epic Games","④ Entrar na conta Epic Games","④ Entrar na conta Epic Games"
"Setup_EpicLoginDesc","Logging in allows you to launch without the launcher. Can be skipped for offline mod play.","ログインしておくと Epic Games Launcher なしで直接起動できます。オフラインでMod専用プレイのみなら省略できます。","登录后可以直接启动，无需 Epic Games Launcher。仅离线 Mod 游玩可跳过。","登入後可直接啟動，無需 Epic Games Launcher。僅離線 Mod 遊玩可略過。","Войдите, чтобы запускать без лаунчера. Можно пропустить для оффлайн-модов.","Fazer login permite iniciar sem o launcher. Pode ser pulado para jogar mods offline.","Fazer login permite iniciar sem o launcher."
"Setup_GitHubStep","⑤ Link GitHub account (optional)","④ GitHub アカウントと連携（省略可）","⑤ 关联 GitHub 账户（可选）","⑤ 連結 GitHub 帳戶（可省略）","⑤ Связать аккаунт GitHub (необяз.)","⑤ Vincular conta GitHub (opcional)","⑤ Vincular conta GitHub (opcional)"
"Setup_GitHubDesc","Linking allows auto-checking for mod updates and one-click updates.","連携するとModの最新バージョンを自動チェックしてワンクリックで更新できます。","关联后可自动检查 Mod 更新并一键更新。","連結後可自動檢查 Mod 更新並一鍵更新。","Привязка позволяет автоматически проверять обновления модов.","Vincular permite verificar automaticamente atualizações de mods.","Vincular permite verificar atualizações de mods."
"Setup_NotLinked","Not linked (optional)","未連携（省略可）","未关联（可选）","未連結（可省略）","Не привязан (необяз.)","Não vinculado (opcional)","Não vinculado (opcional)"
"Setup_Finish","Setup complete","セットアップ完了","设置完成","設定完成","Настройка завершена","Configuração concluída","Configuração concluída"
"Setup_NotFound","Among Us was not found","Among Us が見つかりませんでした","找不到 Among Us","找不到 Among Us","Among Us не найден","Among Us não foi encontrado","Among Us não foi encontrado"
"Setup_NotFoundDesc","Please check the installation path. You can also specify the folder containing Among Us.exe directly via 'Browse...'.","インストール先が正しいか確認してください。Among Us.exe が含まれているフォルダを「参照...」から直接指定することもできます。","请确认安装路径是否正确。也可以通过"浏览..."直接指定包含 Among Us.exe 的文件夹。","請確認安裝路徑是否正確。也可透過「瀏覽...」直接指定包含 Among Us.exe 的資料夾。","Проверьте правильность пути установки. Можно указать папку с Among Us.exe через «Обзор...».","Verifique se o caminho de instalação está correto.","Verifique se o caminho de instalação está correto."
"Setup_GetOnSteam","Get on Steam","Steam で入手","在 Steam 获取","在 Steam 取得","Получить в Steam","Obter no Steam","Obter no Steam"
"Setup_GetOnEpic","Get on Epic Games","Epic Games で入手","在 Epic 获取","在 Epic 取得","Получить в Epic","Obter na Epic","Obter na Epic"
"Setup_GetOnItch","Get on itch.io","itch.io で入手","在 itch.io 获取","在 itch.io 取得","Получить на itch.io","Obter na itch.io","Obter na itch.io"
"Setup_FolderNotFound","Folder not found","フォルダが見つからない・エラーが出る場合","文件夹未找到或出现错误","資料夾未找到或發生錯誤","Папка не найдена / Ошибка","Pasta não encontrada / Erro","Pasta não encontrada"
"Setup_FolderNotFoundDesc","Specify the folder directly via 'Browse...' or contact us on Discord.","「参照...」でフォルダを直接指定するか、Discord でお問い合わせください。","请通过"浏览..."直接指定文件夹，或在 Discord 联系我们。","請透過「瀏覽...」直接指定資料夾，或在 Discord 聯絡我們。","Укажите папку через «Обзор...» или обратитесь к нам в Discord.","Especifique a pasta via 'Procurar...' ou entre em contato pelo Discord.","Especifique a pasta ou entre em contato."
"Setup_DiscordSupport","Discord support","Discord サポート","Discord 支持","Discord 支援","Поддержка Discord","Suporte no Discord","Suporte no Discord"
"Setup_ExistingModsFound","Installed mods found","インストール済みModが見つかりました","发现已安装的 Mod","發現已安裝的 Mod","Найдены установленные моды","Mods instalados encontrados","Mods instalados encontrados"
"Setup_RegisterExisting","✅ Register","✅ 登録する","✅ 注册","✅ 登錄","✅ Зарегистрировать","✅ Registrar","✅ Registrar"
"Setup_Skip","Skip","スキップ","跳过","略過","Пропустить","Pular","Pular"
"Setup_EpicLogin","🔑 Login to Epic Games","🔑 Epic Games にログイン","🔑 登录 Epic Games","🔑 登入 Epic Games","🔑 Войти в Epic Games","🔑 Entrar na Epic Games","🔑 Entrar na Epic Games"
"Setup_GitHubLogin","🐙 Login to GitHub","🐙 GitHub にログイン","🐙 登录 GitHub","🐙 登入 GitHub","🐙 Войти в GitHub","🐙 Entrar no GitHub","🐙 Entrar no GitHub"
"Setup_Cancel","Cancel","キャンセル","取消","取消","Отмена","Cancelar","Cancelar"
"Setup_AuthWaiting","Waiting for authentication...","認証を待っています...","等待认证...","等待認證...","Ожидание аутентификации...","Aguardando autenticação...","Aguardando autenticação..."
"Setup_CopyCode","📋 Copy","📋 コピー","📋 复制","📋 複製","📋 Копировать","📋 Copiar","📋 Copiar"
"Setup_Copied","✅ Copied","✅ コピー済み","✅ 已复制","✅ 已複製","✅ Скопировано","✅ Copiado","✅ Copiado"
"Setup_OpenGitHub","🌐 Open GitHub in browser","🌐 ブラウザで GitHub を開く","🌐 在浏览器中打开 GitHub","🌐 在瀏覽器開啟 GitHub","🌐 Открыть GitHub в браузере","🌐 Abrir GitHub no navegador","🌐 Abrir GitHub no navegador"
"Setup_SwitchAccount","🔄 Login with a different account","🔄 別のアカウントでログイン","🔄 用其他账户登录","🔄 用其他帳戶登入","🔄 Войти с другим аккаунтом","🔄 Entrar com outra conta","🔄 Entrar com outra conta"

"# 設定ページ"
"Settings_Title","Settings","設定","设置","設置","Настройки","Configurações","Configurações"
"Settings_UnsavedTitle","Unsaved Changes","未保存の変更があります","有未保存的更改","有未儲存的變更","Несохранённые изменения","Alterações não salvas","Alterações não salvas"
"Settings_UnsavedMessage","Save settings before leaving?","ページを離れる前に設定を保存しますか？","离开前保存设置？","離開前儲存設定？","Сохранить настройки перед выходом?","Salvar configurações antes de sair?","Salvar configurações antes de sair?"
"Settings_SaveAndMove","Save and continue","保存して移動","保存并继续","儲存並繼續","Сохранить и продолжить","Salvar e continuar","Salvar e continuar"
"Settings_GameFolder","Game Folder","ゲームフォルダ","游戏文件夹","遊戲資料夾","Папка игры","Pasta do jogo","Pasta do jogo"
"Settings_GameFolderDesc","Register the folder where Among Us is installed. You can register multiple platforms.","AmongUsが入っているフォルダを登録してください。複数のプラットフォームを登録できます。","请注册Among Us所在的文件夹。可以注册多个平台。","請登錄 Among Us 所在的資料夾。可以登錄多個平台。","Укажите папку с Among Us. Можно добавить несколько платформ.","Registre a pasta onde Among Us está instalado.","Registre a pasta onde Among Us está instalado."
"Settings_SelectedCount","selected","個選択中","已选","已選","выбрано","selecionados","selecionados"
"Settings_BulkChange","Bulk change:","一括変更:","批量更改:","批次變更:","Массовое изменение:","Alterar em massa:","Alterar em massa:"
"Settings_SelectPlatform","Select platform","プラットフォーム選択","选择平台","選擇平台","Выбрать платформу","Selecionar plataforma","Selecionar plataforma"
"Settings_Manual","Manual","手動指定","手动","手動","Вручную","Manual","Manual"
"Settings_Delete","Delete","削除","删除","刪除","Удалить","Excluir","Excluir"
"Settings_Add","Add","追加","添加","新增","Добавить","Adicionar","Adicionar"
"Settings_AutoDetect","Auto-detect Among Us","Among Usを自動検出する","自动检测Among Us","自動偵測 Among Us","Автоопределение Among Us","Detectar automaticamente","Detectar automaticamente"
"Settings_AutoDetectDesc","If not specified, all drives will be scanned.","指定がない場合はすべてのドライブをスキャンします","如果未指定，将扫描所有驱动器","若未指定，將掃描所有磁碟機","Если не указано, будут сканированы все диски.","Se não especificado, todos os discos serão verificados.","Se não especificado, todos os discos."
